site15 CFKADS2218   75   1.6220   1.6630  2025    1  15   437.87     0.41     NaN   2072.2     2.53     NaN   123.6    5.2     NaN    2005  1  0.040
site15 CFKADS2218   75   1.6630   1.7050  2025    1  16   437.18     0.59     NaN   2063.6     2.78     NaN   120.5    5.1     NaN    2006  1  0.040
site15 CFKADS2218   75   1.7050   1.7470  2025    1  17   437.55     0.21     NaN   2070.6     1.11     NaN   124.1    5.1     NaN    2004  1  0.040
site15 CFKADS2218   75   1.7470   1.7880  2025    1  18   437.31     0.10     NaN   2071.8     0.25     NaN   125.1    5.1     NaN    2005  1  0.040
site15 CFKADS2218   75   1.7880   1.8300  2025    1  19   437.55     0.12     NaN   2075.3     1.87     NaN   126.3    5.0     NaN    2006  1  0.040
site15 CFKADS2218   75   1.8300   1.8720  2025    1  20   437.37     0.11     NaN   2075.1     0.64     NaN   125.9    5.1     NaN    2005  1  0.040
site15 CFKADS2218   75   1.8720   1.9130  2025    1  21   437.12     0.13     NaN   2072.7     1.30     NaN   125.3    5.1     NaN    2007  1  0.040
site15 CFKADS2218   75   1.9130   1.9550  2025    1  22   437.02     0.15     NaN   2070.3     1.47     NaN   124.2    5.0     NaN    2006  1  0.040
site15 CFKADS2218   75   1.9550   1.9970  2025    1  23   436.44     0.20     NaN   2065.2     1.53     NaN   123.0    4.9     NaN    2006  1  0.040
site15 CFKADS2218   75   1.9970   2.0380  2025    2   0   436.11     0.17     NaN   2061.5     1.12     NaN   122.6    5.1     NaN    2007  1  0.040
site15 CFKADS2218   75   2.0380   2.0800  2025    2   1   436.89     0.77     NaN   2060.3     0.48     NaN   123.3    4.9     NaN    2007  1  0.040
site15 CFKADS2218   75   2.0800   2.1220  2025    2   2   437.75     0.21     NaN   2060.8     0.35     NaN   123.8    5.0     NaN    2006  1  0.040
site15 CFKADS2218   75   2.1220   2.1630  2025    2   3   436.67     0.92     NaN   2058.0     2.08     NaN   123.3    5.4     NaN    2007  1  0.040
site15 CFKADS2218   75   2.1630   2.2050  2025    2   4   435.26     0.10     NaN   2055.8     0.73     NaN   120.7    5.0     NaN    2007  1  0.040
site15 CFKADS2218   75   2.2050   2.2470  2025    2   5   435.65     0.11     NaN   2058.1     0.41     NaN   122.0    5.1     NaN    2006  1  0.040
site15 CFKADS2218   75   2.2470   2.2880  2025    2   6   436.38     0.47     NaN   2057.1     1.76     NaN   121.7    5.1     NaN    2006  1  0.040
site15 CFKADS2218   75   2.2880   2.3300  2025    2   7   437.12     0.30     NaN   2057.7     0.58     NaN   124.0    4.9     NaN    2006  1  0.040
